id,week,product,loan_amount,loan_duration,unpaid_debt,credit_score,accept,due,overdue,returned_amount
95,2,0,1400,43,0,53.29,1,1,0,1484.88
96,2,0,1500,30,5000,24.43,0,,,
97,2,0,200,23,0,56.51,1,1,0,206.40
98,2,0,1400,36,0,53.18,1,1,0,1470.72
99,2,0,500,87,1000,34.8,0,,,
100,2,0,1400,90,5000,38.48,0,,,
101,2,0,1000,44,0,52.38,1,1,0,1062.08
102,2,0,300,89,0,61.33,1,1,0,338.87
103,2,0,1300,79,0,45.42,0,,,
104,2,0,200,78,5000,4.98,0,,,
105,2,0,900,34,0,56.65,1,1,0,942.88
106,2,0,1400,35,750,45.22,0,,,
107,2,0,1400,90,0,53.42,1,1,0,1583.56
108,2,0,400,21,0,39.08,0,,,
109,2,0,1000,78,5000,25.3,0,,,
110,2,0,400,24,5000,59.74,1,1,1,0.00
111,2,0,800,22,0,53.85,1,1,0,824.46
112,2,0,700,34,0,66.02,1,1,0,733.35
113,2,0,400,76,0,60.07,1,1,0,443.86
114,2,0,1500,89,700,47.25,0,,,
115,2,0,1100,88,1050,62.72,1,1,0,1240.82
116,2,0,800,27,0,74.73,1,1,0,830.12
117,2,0,400,26,0,56.69,1,1,0,414.49
118,2,0,1300,81,2000,39.95,0,,,
119,2,0,1000,23,0,58.41,1,1,0,1031.99
120,2,0,200,31,0,54.36,1,1,0,208.67
121,2,0,500,27,0,57.82,1,1,0,518.83
122,2,0,1400,90,0,52.01,1,1,0,1583.56
123,2,0,1400,90,0,52.27,1,1,0,1583.56
124,2,0,800,15,0,72.19,1,1,0,816.60
125,2,0,800,90,0,53.11,1,1,0,904.89
126,2,0,200,25,5000,23.11,0,,,
127,2,0,1400,41,0,67.78,1,1,0,1480.82
128,2,0,700,29,0,55.76,1,1,0,728.35
129,2,0,900,90,0,54.69,1,1,0,1018.00
130,2,0,900,81,0,54.83,1,1,0,1005.54
131,2,0,100,19,0,47.04,0,,,
132,2,0,300,21,0,37.42,0,,,
133,2,0,1000,84,0,58.66,1,1,0,1121.86
134,2,0,200,25,0,47.36,0,,,
135,2,0,300,21,0,82.29,1,1,0,308.75
136,2,0,300,18,400,62.28,1,1,0,307.48
137,2,0,1500,26,0,52.83,1,1,0,1554.35
138,2,0,1400,90,2000,25.78,0,,,
139,2,0,1500,29,0,35.66,0,,,
140,2,0,1400,90,2000,36.62,0,,,
141,2,0,900,86,0,63.81,1,1,0,1012.44
142,2,0,1000,90,0,45.01,0,,,
143,2,0,800,87,1500,53.05,1,1,0,901.18
144,2,0,1200,39,0,42.74,0,,,
145,2,0,1400,82,0,48.66,0,,,
146,2,0,1500,83,5000,31.74,0,,,
147,2,0,1400,84,5000,26.09,0,,,
148,2,0,1300,26,0,57.78,1,1,0,1347.10
149,2,0,1400,74,0,76.37,1,1,0,1549.25
150,2,0,1400,71,0,74.5,1,1,0,1542.90
151,2,0,1500,80,5000,28.73,0,,,
152,2,0,200,31,5000,43.51,0,,,
153,2,0,900,32,0,40.48,0,,,
154,2,0,1400,90,0,55.89,1,1,0,1583.56
155,2,0,1400,26,0,57.83,1,1,0,1450.73
156,2,0,1500,88,0,61.61,1,1,0,1692.03
157,2,0,800,77,0,52.23,1,1,0,888.93
158,2,0,1000,81,0,67.4,1,1,0,1117.26
159,2,0,1500,20,0,52.5,1,1,0,1541.64
160,2,0,1400,83,0,34.59,0,,,
161,2,0,1500,83,0,51.54,1,1,0,1680.49
162,2,0,1500,39,0,57.36,1,1,0,1582.26
163,2,0,1500,85,0,49.46,0,,,
164,2,0,200,59,0,54.68,1,1,0,216.82
165,2,0,1500,74,0,59.87,1,1,0,1659.91
166,2,0,1400,29,5000,42.28,0,,,
167,2,0,200,85,0,42.82,0,,,
168,2,0,1500,38,0,61.05,1,1,0,1580.09
169,2,1,2500,12,0,70.25,1,1,0,2541.41
170,2,1,1600,28,0,66.21,1,1,0,1662.52
171,2,1,1300,82,0,79.62,1,1,0,1454.43
172,2,1,100,27,5000,53.33,1,1,1,0.00
173,2,1,100,77,0,69.42,1,1,0,111.12
174,2,1,500,23,0,60.66,1,1,0,515.99
175,3,0,1000,39,0,60.89,1,1,0,1054.84
176,3,1,1400,78,3000,59.31,1,1,1,0.00
177,3,1,400,19,0,71.49,1,1,0,410.54
178,4,0,300,86,0,68.98,1,1,0,337.48
179,4,0,300,86,0,46.61,0,,,
180,4,0,900,85,5000,38.91,0,,,
181,4,0,1400,25,0,49.54,0,,,
182,4,0,1000,23,0,40.97,0,,,
183,4,0,300,22,1050,49.16,0,,,
184,4,0,700,33,0,46.96,0,,,
185,4,0,1500,82,450,59.45,1,1,0,1678.19
186,4,0,1500,70,3000,34.53,0,,,
187,4,0,1500,86,5000,45.06,0,,,
188,4,0,1500,69,0,55.08,1,1,0,1648.59
189,4,0,1500,80,1500,85.96,1,1,0,1673.60
190,4,0,1500,90,0,46.08,0,,,
191,4,0,900,34,5000,28.05,0,,,
192,4,0,900,23,0,60.1,1,1,0,928.79
193,4,0,1400,90,1500,55.78,1,1,0,1583.56
194,4,0,1500,89,0,46.14,0,,,
195,4,0,1500,89,0,36.34,0,,,
196,4,0,1500,81,0,41.82,0,,,
197,4,0,700,72,2000,23,0,,,
198,4,0,900,71,300,51.81,1,1,1,0.00
199,4,0,400,22,0,52.99,1,1,0,412.23
200,4,0,1000,46,5000,27.25,0,,,
201,4,0,1500,29,0,37.81,0,,,
202,4,0,700,90,2000,50.72,1,1,1,0.00
203,4,0,1400,36,0,63.83,1,1,0,1470.72
204,4,0,300,19,0,46.74,0,,,
205,4,0,1000,75,0,46.58,0,,,
206,4,0,1100,78,0,64.33,1,1,0,1223.95
207,4,0,900,25,0,35.78,0,,,
208,4,0,800,80,0,46.26,0,,,
209,4,0,300,42,0,40.74,0,,,
210,4,0,400,22,0,31.23,0,,,
211,4,0,1400,34,0,47.5,0,,,
212,4,0,1500,77,950,76.71,1,1,0,1666.74
213,4,0,1400,88,0,51.51,1,1,0,1579.23
214,4,0,1500,90,650,67.26,1,1,0,1696.67
215,4,0,1500,25,0,40.98,0,,,
216,4,0,1500,25,0,55.77,1,1,0,1552.22
217,4,0,1500,88,350,77.01,1,1,0,1692.03
218,4,0,1400,35,0,46.89,0,,,
219,4,0,800,85,0,58.59,1,1,0,898.72
220,4,0,900,83,0,54.41,1,1,0,1008.29
221,4,0,200,33,0,51.1,1,1,0,209.24
222,4,0,900,79,0,38.11,0,,,
223,4,0,1500,90,0,62.71,1,1,0,1696.67
224,4,0,300,81,0,43.2,0,,,
225,4,0,1500,30,0,62.91,1,1,0,1562.88
226,4,0,1400,31,0,41.08,0,,,
227,4,0,1000,73,0,62.97,1,1,0,1105.10
228,4,0,400,28,0,64.06,1,1,0,415.63
229,4,0,1500,30,0,57.52,1,1,0,1562.88
230,4,0,300,32,3000,27.8,0,,,
231,4,0,200,29,0,51,1,1,0,208.10
232,4,0,1500,75,0,59.47,1,1,0,1662.19
233,4,0,500,26,0,40.98,0,,,
234,4,0,1500,23,0,64.38,1,1,0,1547.98
235,4,0,1500,83,0,48.28,0,,,
236,4,0,1100,88,0,50.11,1,1,0,1240.82
237,4,0,1500,21,0,63.26,1,1,0,1543.75
238,4,0,300,31,5000,41.54,0,,,
239,4,0,1400,81,0,57.73,1,1,0,1564.17
240,4,0,1400,90,5000,65.21,1,1,0,1583.56
241,4,0,1500,35,0,34.08,0,,,
242,4,0,1500,22,500,66.95,1,1,0,1545.86
243,4,0,400,29,0,69.66,1,1,0,416.20
244,4,0,300,13,0,47.55,0,,,
245,4,0,400,30,0,65.96,1,1,0,416.77
246,4,0,300,21,2000,66.32,1,1,0,308.75
247,4,0,800,74,0,46.58,0,,,
248,4,0,1300,82,5000,61.43,1,1,0,1454.43
249,4,0,1500,90,0,48.86,0,,,
250,4,0,1500,27,0,34.5,0,,,
251,4,0,1500,79,300,62.56,1,1,1,0.00
252,4,0,1500,82,0,68.22,1,1,0,1678.19
253,4,0,900,26,2000,59.23,1,1,0,932.61
254,4,0,900,74,0,67.83,1,1,0,995.95
255,4,0,1500,79,2000,15.78,0,,,
256,4,0,1500,90,0,57.9,1,1,0,1696.67
257,4,0,1500,87,5000,26.4,0,,,
258,4,1,1300,28,5000,51.31,1,1,1,0.00
259,4,1,2300,90,5000,55.15,1,1,1,0.00
260,4,1,700,77,0,88.87,1,1,0,777.81
261,5,0,1500,90,5000,36.6,0,,,
262,5,0,300,37,5000,34.04,0,,,
263,5,0,1500,76,3000,34.88,0,,,
264,5,0,1400,82,0,59.74,1,1,0,1566.31
265,5,0,1500,83,1050,49.71,0,,,
266,5,0,1000,77,0,25.08,0,,,
267,5,0,1500,23,2000,35.35,0,,,
268,5,0,300,14,0,72.19,1,1,0,305.80
269,5,0,300,29,0,64.13,1,1,0,312.15
270,5,0,600,76,0,43.24,0,,,
271,5,0,900,34,0,48.96,0,,,
272,5,0,1200,77,450,51.72,1,1,0,1333.40
273,5,0,1500,77,0,34.89,0,,,
274,5,0,1500,33,0,72.46,1,1,0,1569.32
275,5,0,1500,90,1500,16.05,0,,,
276,5,0,1500,26,0,84.19,1,1,0,1554.35
277,5,0,1500,88,0,63.62,1,1,0,1692.03
278,5,0,1400,29,3000,28.83,0,,,
279,5,0,1400,80,5000,42.67,0,,,
280,5,0,1000,25,0,56.37,1,1,0,1034.82
281,5,0,1300,85,5000,45.35,0,,,
282,5,0,1500,83,0,66.69,1,1,0,1680.49
283,5,0,400,24,5000,44.13,0,,,
284,5,0,300,17,0,60.68,1,1,0,307.06
285,5,0,1400,85,0,47.37,0,,,
286,5,0,800,23,0,57.11,1,1,0,825.59
287,5,0,1500,81,0,43.92,0,,,
288,5,0,900,84,0,41.33,0,,,
289,5,0,1400,81,5000,17.89,0,,,
290,5,0,1200,32,0,40.17,0,,,
291,5,0,1500,89,0,48.07,0,,,
292,5,0,800,81,0,48.48,0,,,
293,5,0,400,23,0,56.98,1,1,0,412.79
294,5,0,1000,28,0,32.65,0,,,
295,5,0,1500,80,0,46.31,0,,,
296,5,0,400,31,0,49.46,0,,,
297,5,0,900,21,5000,34.8,0,,,
298,5,0,400,15,0,49.56,0,,,
299,5,0,1500,22,0,40.66,0,,,
300,5,0,1500,73,0,65.54,1,1,0,1657.64
301,5,0,1300,83,0,39.97,0,,,
302,5,0,800,83,0,52.44,1,1,0,896.26
303,5,0,500,69,2000,31.4,0,,,
304,5,0,1400,90,0,58.01,1,1,0,1583.56
305,5,0,1400,90,0,64.59,1,1,0,1583.56
306,5,0,1400,70,1500,55.61,1,1,1,0.00
307,5,0,1300,23,0,51.76,1,1,0,1341.58
308,5,0,1500,5,0,54.25,1,1,0,1510.30
309,5,0,1500,83,0,41.11,0,,,
310,5,0,1200,76,0,50.72,1,1,0,1331.57
311,5,0,900,29,0,59.65,1,1,0,936.45
312,5,0,1200,79,2000,48.39,0,,,
313,5,0,1500,36,5000,38.78,0,,,
314,5,0,300,29,0,40.57,0,,,
315,5,0,300,90,0,59.46,1,1,0,339.33
316,5,0,900,79,0,41.34,0,,,
317,5,0,1400,24,850,45.9,0,,,
318,5,0,400,82,0,52.53,1,1,0,447.52
319,5,0,1500,68,1500,49.05,0,,,
320,5,0,1400,32,0,45.84,0,,,
321,5,0,300,24,0,41.84,0,,,
322,5,1,2200,84,0,62.53,1,1,0,2468.10
323,5,1,100,15,2000,51.57,1,1,1,0.00
324,5,1,2400,26,0,62.44,1,1,0,2486.96
325,5,1,2100,78,5000,33.76,0,,,
326,6,0,1000,83,1000,52.21,1,1,0,1120.33
327,6,0,500,10,0,64.85,1,1,0,506.89
328,6,0,1500,76,0,52.63,1,1,0,1664.46
329,6,0,900,31,0,61.76,1,1,0,939.02
330,6,0,400,15,0,59.8,1,1,0,408.30
331,6,0,300,22,0,43.47,0,,,
332,6,0,300,32,0,66.09,1,1,0,313.43
333,6,0,1500,81,0,39.63,0,,,
334,6,0,1400,83,0,57.69,1,1,0,1568.46
335,6,0,800,84,0,27,0,,,
336,6,0,1400,82,500,43.23,0,,,
337,6,0,400,85,5000,26.43,0,,,
338,6,0,800,42,0,47.8,0,,,
339,6,0,300,31,0,38.14,0,,,
340,6,0,1500,76,0,58.21,1,1,0,1664.46
341,6,0,1400,90,0,56.19,1,1,0,1583.56
342,6,0,900,39,0,57.23,1,1,0,949.36
343,6,0,1500,70,5000,38.21,0,,,
344,6,0,1500,85,5000,54.26,1,1,0,1685.10
345,6,0,800,30,3000,2.2,0,,,
346,6,0,400,90,0,48.41,0,,,
347,6,0,1500,90,0,71.52,1,1,0,1696.67
348,6,0,600,82,0,56.83,1,1,0,671.28
349,6,0,800,20,0,60.87,1,1,0,822.21
350,6,0,800,76,0,53.7,1,1,0,887.71
351,6,0,900,26,0,37.05,0,,,
352,6,0,200,26,0,72.09,1,1,0,207.25
353,6,0,300,36,0,61.71,1,1,0,315.15
354,6,0,900,16,1500,51.07,1,1,1,0.00
355,6,0,1300,45,0,48.03,0,,,
356,6,0,1500,84,5000,50.62,1,1,1,0.00
357,6,0,1500,89,0,51.78,1,1,0,1694.35
358,6,0,700,73,0,54.66,1,1,0,773.57
359,6,0,400,17,0,62.44,1,1,0,409.42
360,6,0,1400,74,0,71.8,1,1,0,1549.25
361,6,0,800,31,5000,48.82,0,,,
362,6,0,1300,85,5000,45.55,0,,,
363,6,0,1400,17,5000,25.44,0,,,
364,6,0,400,20,0,46.94,0,,,
365,6,0,1000,34,0,56.5,1,1,0,1047.64
366,6,0,1300,87,0,57.88,1,1,0,1464.42
367,6,0,100,77,3000,50.72,1,1,1,0.00
368,6,0,300,5,0,61.6,1,1,0,302.06
369,6,0,1400,83,0,45.06,0,,,
370,6,0,400,31,0,45.92,0,,,
371,6,0,1500,90,0,51.97,1,1,0,1696.67
372,6,0,300,40,0,44.31,0,,,
373,6,0,1500,76,0,42.69,0,,,
374,6,0,900,22,0,42.42,0,,,
375,6,0,1500,87,0,61.2,1,1,0,1689.72
376,6,0,400,30,200,66.79,1,1,1,0.00
377,6,0,900,85,0,46.54,0,,,
378,6,0,1000,74,550,48.66,0,,,
379,6,0,1300,34,0,54.51,1,1,0,1361.94
380,6,0,1400,72,0,34.1,0,,,
381,6,0,400,71,0,58.03,1,1,0,440.83
382,6,0,1000,22,0,50.92,1,1,0,1030.57
383,6,0,1400,87,5000,34.42,0,,,
384,6,0,200,89,0,50.8,1,1,0,225.91
385,6,0,900,25,0,56.4,1,1,0,931.33
386,6,0,300,79,0,52.99,1,1,0,334.26
387,6,0,1500,26,3000,28.7,0,,,
388,6,0,1500,87,0,40.83,0,,,
389,6,0,400,41,5000,39,0,,,
390,6,0,1500,27,0,20.97,0,,,
391,6,0,1400,40,0,65.82,1,1,0,1478.80
392,6,0,800,28,0,42.27,0,,,
393,6,0,300,29,300,31.72,0,,,
394,6,0,400,67,0,66.59,1,1,0,438.42
395,6,0,900,33,0,36.82,0,,,
396,6,0,800,71,0,50.7,1,1,0,881.66
397,6,0,1000,26,0,41.85,0,,,
398,6,0,1500,81,0,60.31,1,1,0,1675.90
399,6,0,1500,90,0,42.29,0,,,
400,6,0,400,28,0,63.28,1,1,0,415.63
401,6,0,100,18,0,63.92,1,1,0,102.49
402,6,0,900,84,0,29.84,0,,,
403,6,0,1500,78,5000,47.09,0,,,
404,6,0,300,26,5000,36.64,0,,,
405,6,0,400,90,350,19.92,0,,,
406,6,0,1400,82,2000,60.61,1,1,0,1566.31
407,6,0,300,86,1500,45.36,0,,,
408,6,0,1500,20,1500,65.52,1,1,0,1541.64
409,6,0,200,28,5000,37.24,0,,,
410,6,0,1400,83,0,84.91,1,1,0,1568.46
411,6,0,1300,75,0,64.39,1,1,0,1440.56
412,6,0,1000,33,0,70.26,1,1,0,1046.21
413,6,0,1400,81,0,62.09,1,1,0,1564.17
414,6,0,500,33,700,59.47,1,1,0,523.11
415,6,0,300,90,2000,39.92,0,,,
416,6,0,1400,85,0,37.69,0,,,
417,6,0,1400,87,0,53.39,1,1,0,1577.07
418,6,0,500,77,0,62.32,1,1,0,555.58
419,6,0,400,76,0,48.55,0,,,
420,6,0,300,26,0,64.94,1,1,0,310.87
421,6,0,300,83,0,61.01,1,1,0,336.10
422,6,0,300,27,5000,23.16,0,,,
423,6,0,900,25,0,54.52,1,1,0,931.33
424,6,0,1200,31,0,61.78,1,1,0,1252.02
425,6,0,1500,83,0,40.16,0,,,
426,6,0,400,24,0,49.17,0,,,
427,6,0,1500,89,0,58.74,1,1,0,1694.35
428,6,0,1100,90,1500,31.17,0,,,
429,6,0,1000,86,700,58.69,1,1,0,1124.94
430,6,0,1400,38,0,84.27,1,1,0,1474.75
431,6,0,900,67,0,48.37,0,,,
432,6,0,800,79,0,55.53,1,1,0,891.37
433,6,0,800,72,0,27.82,0,,,
434,6,0,1300,79,0,48.38,0,,,
435,6,0,1500,70,3000,8.42,0,,,
436,6,0,1400,88,0,69.96,1,1,0,1579.23
437,6,0,800,90,0,60.63,1,1,0,904.89
438,6,0,1500,30,0,41.85,0,,,
439,6,0,800,83,5000,15.81,0,,,
440,6,0,1400,76,0,42.09,0,,,
441,6,0,1300,15,0,59.66,1,1,0,1326.97
442,6,0,1300,29,0,77.56,1,1,0,1352.65
443,6,0,300,35,5000,38,0,,,
444,6,0,1500,76,0,50.16,1,1,0,1664.46
445,6,0,400,38,0,41.04,0,,,
446,6,0,1500,84,450,59.76,1,1,0,1682.79
447,6,0,1100,72,0,44.35,0,,,
448,6,0,1500,86,5000,33.93,0,,,
449,6,0,900,80,0,53.45,1,1,0,1004.16
450,6,1,1500,86,0,62,1,1,0,1687.41
451,6,1,300,24,2000,60.75,1,1,1,0.00
452,6,1,500,73,0,52.4,1,1,0,552.55
453,7,0,900,71,450,57.96,1,1,0,991.87
454,7,0,900,72,800,68.12,1,1,0,993.23
455,7,0,1400,34,0,30.6,0,,,
456,7,0,1400,77,350,69.96,1,1,0,1555.63
457,7,0,1000,65,0,40.79,0,,,
458,7,0,900,90,0,30.9,0,,,
459,7,0,1400,88,0,47.5,0,,,
460,7,0,1400,83,5000,41.82,0,,,
461,7,0,400,84,50,37.47,0,,,
462,7,0,200,75,5000,49.17,0,,,
463,7,0,1500,25,5000,33.41,0,,,
464,7,0,1500,31,5000,46.78,0,,,
465,7,0,300,82,0,70.12,1,1,0,335.64
466,7,0,1000,23,0,73.06,1,1,0,1031.99
467,7,0,1400,76,0,62.69,1,1,0,1553.50
468,7,0,1500,76,0,53.74,1,1,0,1664.46
469,7,0,400,76,0,40.27,0,,,
470,7,0,1500,89,1500,62.63,1,1,0,1694.35
471,7,0,1500,30,0,43.95,0,,,
472,7,0,300,84,3000,42.41,0,,,
473,7,0,1000,29,800,43.64,0,,,
474,7,0,900,23,5000,41.37,0,,,
475,7,0,1400,31,3000,26.07,0,,,
476,7,0,1500,79,850,55.98,1,1,0,1671.31
477,7,0,1400,90,0,63.83,1,1,0,1583.56
478,7,0,1500,62,0,60.26,1,1,0,1632.87
479,7,0,900,31,5000,34.59,0,,,
480,7,0,300,67,0,60.21,1,1,0,328.82
481,7,0,900,83,0,24.65,0,,,
482,7,0,400,20,1500,57.29,1,1,1,0.00
483,7,0,900,83,2000,30.54,0,,,
484,7,0,100,24,0,64.12,1,1,0,103.34
485,7,0,1500,85,200,52.46,1,1,1,0.00
486,7,0,1400,80,0,50.01,1,1,0,1562.03
487,7,0,400,87,0,62.81,1,1,0,450.59
488,7,0,1300,86,0,45.29,0,,,
489,7,0,1500,87,0,65.03,1,1,0,1689.72
490,7,0,1500,75,5000,49.77,0,,,
491,7,0,1500,90,0,59.88,1,1,0,1696.67
492,7,0,900,28,0,55.32,1,1,0,935.17
493,7,0,900,39,5000,47.8,0,,,
494,7,0,300,25,5000,34.1,0,,,
495,7,0,1500,86,5000,0.42,0,,,
496,7,0,1500,78,0,48.37,0,,,
497,7,0,1500,72,0,78.03,1,1,0,1655.38
498,7,0,1300,79,0,50.98,1,1,0,1448.47
499,7,0,1500,87,0,55.22,1,1,0,1689.72
500,7,0,1000,23,450,52.1,1,1,0,1031.99
501,7,0,900,79,3000,33.6,0,,,
502,7,0,1400,87,2000,56.63,1,1,1,0.00
503,7,0,400,37,0,54.47,1,1,0,420.78
504,7,0,1500,83,5000,48.69,0,,,
505,7,0,1400,32,0,63.57,1,1,0,1462.69
506,7,0,1500,90,0,71.52,1,1,0,1696.67
507,7,0,800,80,0,42.4,0,,,
508,7,0,400,78,0,61.28,1,1,0,445.07
509,7,0,1000,90,800,67.55,1,1,0,1131.11
510,7,0,1500,23,0,70.55,1,1,0,1547.98
511,7,0,300,79,0,60.02,1,1,0,334.26
512,7,0,1400,77,0,59.22,1,1,0,1555.63
513,7,0,400,90,0,63.91,1,1,0,452.45
514,7,0,1500,72,0,65.83,1,1,0,1655.38
515,7,0,1500,89,5000,58.12,1,1,1,0.00
516,7,0,1500,36,3000,13.63,0,,,
517,7,0,1400,90,0,42.91,0,,,
518,7,0,1500,76,5000,32.04,0,,,
519,7,0,700,90,950,69.45,1,1,0,791.78
520,7,0,1500,76,5000,15.05,0,,,
521,7,0,500,84,0,40.29,0,,,
522,7,0,1500,70,0,76.37,1,1,0,1650.85
523,7,0,1400,90,3000,44.32,0,,,
524,7,0,1500,81,0,53.48,1,1,0,1675.90
525,7,0,1500,28,0,53.18,1,1,0,1558.61
526,7,0,1500,77,0,38.57,0,,,
527,7,0,1500,21,0,63.9,1,1,0,1543.75
528,7,0,1500,19,0,58.7,1,1,0,1539.53
529,7,0,1300,75,0,52.62,1,1,0,1440.56
530,7,0,400,36,0,27.46,0,,,
531,7,0,400,21,5000,51.32,1,1,1,0.00
532,7,0,800,36,5000,43.67,0,,,
533,7,0,400,79,0,42.05,0,,,
534,7,0,1500,34,3000,38.41,0,,,
535,7,0,800,83,5000,34.64,0,,,
536,7,0,400,43,0,56.69,1,1,0,424.25
537,7,0,1500,90,0,42.37,0,,,
538,7,0,1400,90,0,70.85,1,1,0,1583.56
539,7,0,1400,81,0,60.93,1,1,0,1564.17
540,7,0,800,82,0,56.93,1,1,0,895.04
541,7,0,900,73,0,59.9,1,1,0,994.59
542,7,0,900,83,0,63.27,1,1,0,1008.29
543,7,0,1500,34,0,45.97,0,,,
544,7,0,300,14,0,52.63,1,1,0,305.80
545,7,0,1000,29,0,60.79,1,1,0,1040.50
546,7,0,200,27,0,36.86,0,,,
547,7,0,1000,26,3000,33.96,0,,,
548,7,0,800,38,5000,35.13,0,,,
549,7,0,1500,80,0,42.65,0,,,
550,7,0,1300,73,1500,41.51,0,,,
551,7,0,900,80,0,58.31,1,1,0,1004.16
552,7,0,900,37,0,50.26,1,1,0,946.76
553,7,0,1500,90,3000,37.73,0,,,
554,7,0,1000,30,0,46.83,0,,,
555,7,0,1500,33,5000,48.38,0,,,
556,7,0,900,82,0,86.24,1,1,0,1006.92
557,7,0,1400,29,0,54.68,1,1,0,1456.70
558,7,0,200,44,5000,44.8,0,,,
559,7,0,1500,28,5000,37.55,0,,,
560,7,0,1500,89,800,33.27,0,,,
